iter	Passed	Remaining
0	78	23595
1	154	22996
2	218	21584
3	294	21756
4	372	21972
5	445	21813
6	517	21646
7	600	21933
8	675	21838
9	747	21665
10	831	21852
11	916	21988
12	983	21715
13	1063	21733
14	1143	21718
15	1216	21596
16	1300	21647
17	1371	21491
18	1442	21327
19	1515	21220
20	1596	21209
21	1675	21175
22	1752	21105
23	1831	21067
24	1908	20991
25	1980	20876
26	2059	20819
27	2147	20857
28	2230	20840
29	2317	20855
30	2388	20726
31	2464	20643
32	2542	20567
33	2623	20522
34	2699	20439
35	2772	20332
36	2846	20236
37	2932	20222
38	3018	20199
39	3099	20149
40	3172	20042
41	3255	19996
42	3339	19961
43	3421	19904
44	3510	19894
45	3582	19780
46	3661	19712
47	3741	19641
48	3814	19540
49	3903	19515
50	3987	19468
51	4066	19395
52	4141	19298
53	4215	19202
54	4293	19123
55	4368	19033
56	4442	18941
57	4506	18803
58	4581	18712
59	4654	18618
60	4732	18540
61	4812	18473
62	4883	18372
63	4956	18276
64	5022	18156
65	5098	18075
66	5178	18008
67	5243	17888
68	5323	17820
69	5390	17712
70	5471	17646
71	5551	17581
72	5629	17505
73	5701	17412
74	5769	17309
75	5853	17253
76	5924	17156
77	5993	17058
78	6066	16972
79	6143	16893
80	6216	16807
81	6293	16730
82	6369	16651
83	6452	16591
84	6531	16521
85	6604	16433
86	6674	16341
87	6745	16251
88	6817	16163
89	6882	16059
90	6965	15996
91	7060	15963
92	7139	15891
93	7207	15796
94	7280	15711
95	7357	15635
96	7432	15554
97	7494	15448
98	7577	15384
99	7654	15309
100	7723	15217
101	7797	15135
102	7865	15043
103	7933	14952
104	8008	14873
105	8081	14789
106	8155	14710
107	8230	14631
108	8312	14566
109	8380	14475
110	8458	14401
111	8530	14319
112	8611	14250
113	8685	14170
114	8766	14102
115	8844	14028
116	8911	13939
117	8979	13850
118	9049	13763
119	9133	13700
120	9226	13648
121	9304	13575
122	9374	13490
123	9449	13412
124	9530	13343
125	9607	13268
126	9686	13194
127	9760	13115
128	9838	13042
129	9918	12970
130	9989	12886
131	10074	12821
132	10150	12745
133	10222	12663
134	10304	12594
135	10390	12529
136	10462	12447
137	10534	12367
138	10613	12292
139	10688	12215
140	10758	12131
141	10837	12058
142	10908	11976
143	10978	11893
144	11041	11803
145	11115	11724
146	11188	11645
147	11278	11583
148	11353	11506
149	11429	11429
150	11512	11359
151	11594	11289
152	11666	11208
153	11735	11125
154	11797	11036
155	11861	10949
156	11944	10879
157	12013	10796
158	12085	10717
159	12156	10637
160	12231	10560
161	12304	10481
162	12376	10402
163	12449	10324
164	12531	10253
165	12601	10172
166	12672	10092
167	12735	10006
168	12806	9927
169	12881	9850
170	12948	9768
171	13015	9685
172	13083	9604
173	13149	9521
174	13219	9442
175	13292	9365
176	13367	9288
177	13432	9206
178	13511	9133
179	13577	9051
180	13657	8979
181	13728	8900
182	13809	8828
183	13881	8751
184	13953	8673
185	14019	8592
186	14097	8518
187	14176	8445
188	14257	8373
189	14327	8294
190	14407	8222
191	14476	8143
192	14543	8063
193	14619	7987
194	14697	7913
195	14759	7831
196	14835	7756
197	14901	7676
198	14969	7597
199	15042	7521
200	15119	7446
201	15204	7376
202	15280	7301
203	15352	7224
204	15417	7144
205	15501	7073
206	15574	6997
207	15657	6925
208	15728	6848
209	15799	6771
210	15869	6693
211	15937	6615
212	16008	6538
213	16086	6464
214	16158	6388
215	16222	6308
216	16296	6233
217	16358	6153
218	16438	6079
219	16503	6001
220	16570	5923
221	16653	5851
222	16741	5780
223	16814	5704
224	16896	5632
225	16957	5552
226	17030	5476
227	17111	5403
228	17194	5330
229	17261	5253
230	17332	5177
231	17403	5100
232	17483	5027
233	17560	4953
234	17632	4877
235	17700	4800
236	17772	4724
237	17849	4649
238	17908	4570
239	17986	4496
240	18064	4422
241	18143	4348
242	18229	4275
243	18300	4200
244	18380	4126
245	18455	4051
246	18524	3974
247	18587	3897
248	18664	3822
249	18737	3747
250	18813	3672
251	18881	3596
252	18946	3519
253	19010	3442
254	19086	3368
255	19165	3294
256	19241	3219
257	19323	3145
258	19403	3071
259	19478	2996
260	19556	2922
261	19627	2846
262	19691	2770
263	19772	2696
264	19850	2621
265	19926	2546
266	19995	2471
267	20057	2394
268	20128	2319
269	20195	2243
270	20269	2169
271	20352	2095
272	20426	2020
273	20499	1945
274	20579	1870
275	20654	1796
276	20740	1722
277	20822	1647
278	20906	1573
279	20992	1499
280	21070	1424
281	21138	1349
282	21211	1274
283	21286	1199
284	21369	1124
285	21435	1049
286	21509	974
287	21577	899
288	21652	824
289	21739	749
290	21817	674
291	21881	599
292	21952	524
293	22013	449
294	22085	374
295	22158	299
296	22232	224
297	22308	149
298	22373	74
299	22448	0
